svglogo_id,title,category,category_raw,file_name,file_rel_path,file_abs_path,url,variant,is_wordmark,source_type,source_repo,source_commit,exists,notes
aigc_openai,OpenAI,AIGC,aigc,OpenAI.svg,aigc/OpenAI.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\OpenAI.svg,https://openai.com/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_openai_wordmark,OpenAI,AIGC,aigc,OpenAI_wordmark.svg,aigc/OpenAI_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\OpenAI_wordmark.svg,https://openai.com/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_claude,Claude,AIGC,aigc,Claude.svg,aigc/Claude.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Claude.svg,https://claude.ai/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_claude_wordmark,Claude,AIGC,aigc,Claude_wordmark.svg,aigc/Claude_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Claude_wordmark.svg,https://claude.ai/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_anthropic,Anthropic,AIGC,aigc,Anthropic.svg,aigc/Anthropic.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Anthropic.svg,https://anthropic.com/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_anthropic_wordmark,Anthropic,AIGC,aigc,Anthropic_wordmark.svg,aigc/Anthropic_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Anthropic_wordmark.svg,https://anthropic.com/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_gemini,Gemini,AIGC,aigc,Gemini.svg,aigc/Gemini.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Gemini.svg,https://deepmind.google/technologies/gemini,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_gemini_wordmark,Gemini,AIGC,aigc,Gemini_wordmark.svg,aigc/Gemini_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Gemini_wordmark.svg,https://deepmind.google/technologies/gemini,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_ollama,Ollama,AIGC,aigc,Ollama.svg,aigc/Ollama.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Ollama.svg,https://ollama.ai/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_ollama_wordmark,Ollama,AIGC,aigc,Ollama_wordmark.svg,aigc/Ollama_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Ollama_wordmark.svg,https://ollama.ai/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_meta,Meta,AIGC,aigc,Meta.svg,aigc/Meta.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Meta.svg,https://llama.meta.com/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_meta_wordmark,Meta,AIGC,aigc,Meta_wordmark.svg,aigc/Meta_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Meta_wordmark.svg,https://llama.meta.com/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_midjourney,Midjourney,AIGC,aigc,Midjourney.svg,aigc/Midjourney.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Midjourney.svg,https://midjourney.com/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_midjourney_wordmark,Midjourney,AIGC,aigc,Midjourney_wordmark.svg,aigc/Midjourney_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Midjourney_wordmark.svg,https://midjourney.com/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_mistral,Mistral,AIGC,aigc,Mistral.svg,aigc/Mistral.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Mistral.svg,https://mistral.ai/,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_mistral_wordmark,Mistral,AIGC,aigc,Mistral_wordmark.svg,aigc/Mistral_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Mistral_wordmark.svg,https://mistral.ai/,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_stability,Stability,AIGC,aigc,Stability.svg,aigc/Stability.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Stability.svg,https://deepmind.google/technologies/gemini,default,false,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
aigc_stability_wordmark,Stability,AIGC,aigc,Stability_wordmark.svg,aigc/Stability_wordmark.svg,C:\Users\15510\OneDrive\ドキュメント\logo quize\vendor\SVGLOGO\static\library\aigc\Stability_wordmark.svg,https://deepmind.google/technologies/gemini,wordmark,true,meta,HeyHuazi/SVGLOGO,7816f0f503f1974c34ce8580adb4ad16c9c8fc37,true,
